sp	x	y
Conium_maculatum_Native	-5.60935	56.00508
Conium_maculatum_Native	-4.01142	56.13139
Conium_maculatum_Native	-5.62618	56.18443
Conium_maculatum_Native	-5.98496	56.53312
Conium_maculatum_Native	-6.49259	56.69569
Conium_maculatum_Native	-5.0324	56.82973
Conium_maculatum_Native	-6.18683	56.88624
Conium_maculatum_Native	-4.21898	56.93672
Conium_maculatum_Native	16.4469	57.1373
Conium_maculatum_Native	-4.56589	57.19971
Conium_maculatum_Native	-3.73872	57.2139
Conium_maculatum_Native	18.44865	57.29523
Conium_maculatum_Native	12.1672	57.3108
Conium_maculatum_Native	15.8227	57.3526
Conium_maculatum_Native	-4.25154	57.47535
Conium_maculatum_Native	-4.08489	57.47821
Conium_maculatum_Native	14.912	57.7096
Conium_maculatum_Native	12.7883	58.0235
Conium_maculatum_Native	-3.61258	58.11407
Conium_maculatum_Native	13.5326	58.2456
Conium_maculatum_Native	-3.45759	58.47528
Conium_maculatum_Native	-3.11471	58.47872
Conium_maculatum_Native	-3.80498	58.56071
Conium_maculatum_Native	-3.63316	58.56301
Conium_maculatum_Native	-3.46507	58.65487
Conium_maculatum_Native	-3.29276	58.65671
Conium_maculatum_Native	18.5297	59.2275
Conium_maculatum_Native	24.7472	59.425
Conium_maculatum_Native	-1.18854	60.18747
Conium_maculatum_Native	-2.48	38.98
Conium_maculatum_Native	-6.73	42.13
Conium_maculatum_Native	-1.7929	42.36754
Conium_maculatum_Native	-1.44582	42.65154
Conium_maculatum_Native	-1.07779	42.71799
Conium_maculatum_Native	-3.83	42.75
Conium_maculatum_Native	-0.92652	42.85942
Conium_maculatum_Native	-1.38982	42.92992
Conium_maculatum_Native	14.54167	46.725
Conium_maculatum_Native	3.00784	47.2207
Conium_maculatum_Native	0.80216	47.4165
Conium_maculatum_Native	0.60252	47.4174
Conium_maculatum_Native	0.94772	47.4367
Conium_maculatum_Native	5.96	49.96
Conium_maculatum_Native	-5.70348	50.06533
Conium_maculatum_Native	-4.17592	50.28396
Conium_maculatum_Native	-1.22324	50.57156
Conium_maculatum_Native	-2.49432	50.5731
Conium_maculatum_Native	-2.07062	50.57413
Conium_maculatum_Native	-1.22175	50.66149
Conium_maculatum_Native	5.49642	50.78709
Conium_maculatum_Native	0.48462	50.8175
Conium_maculatum_Native	-4.2009	50.8232
Conium_maculatum_Native	0.05901	50.8258
Conium_maculatum_Native	-0.36678	50.83253
Conium_maculatum_Native	-3.34927	50.83616
Conium_maculatum_Native	-0.79272	50.83772
Conium_maculatum_Native	-1.64488	50.84342
Conium_maculatum_Native	-0.93267	50.92902
Conium_maculatum_Native	5.78844	51.06263
Conium_maculatum_Native	0.49904	51.08705
Conium_maculatum_Native	-0.3573	51.10222
Conium_maculatum_Native	-3.35711	51.10589
Conium_maculatum_Native	-2.50005	51.11269
Conium_maculatum_Native	-1.64282	51.11322
Conium_maculatum_Native	-1.78569	51.11357
Conium_maculatum_Native	-2.07144	51.11374
Conium_maculatum_Native	-0.49717	51.19404
Conium_maculatum_Native	-1.49897	51.20262
Conium_maculatum_Native	-0.20756	51.2799
Conium_maculatum_Native	1.37412	51.33494
Conium_maculatum_Native	0.94404	51.34655
